cytokine;value.median;value.percentile.0;value.percentile.100;ga.week.median;condition;n;age.mean;age.sd;bmi.mean;bmi.sd;gabirth.weeks.mean;gabirth.weeks.sd;birthweight.mean;birthweight.sd;tissue;method
IL_10;0;0.00;2.08;9;small-for-gestational-age;21;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_13;0;0.00;9.82;9;small-for-gestational-age;21;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
G_CSF;14.21;1.45;25.52;9;small-for-gestational-age;21;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
PDGF_BB;1347;189.00;4413.00;9;small-for-gestational-age;21;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_8;0;0.00;11.16;9;small-for-gestational-age;21;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
eotaxin;55.23;0.00;104.50;9;small-for-gestational-age;21;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MIP_1a;1.02;0.00;6.80;9;small-for-gestational-age;21;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MIP_1b;4.58;0.00;34.66;9;small-for-gestational-age;21;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MCP_1;0;0.00;72.32;9;small-for-gestational-age;21;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
RANTES;204;80.00;895.00;9;small-for-gestational-age;21;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_1b;1.73;0.01;7.85;10;small-for-gestational-age;10;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_2;0;0.00;1.36;10;small-for-gestational-age;10;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_7;6.8;0.00;19.35;10;small-for-gestational-age;10;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_12p70;0.52;0.00;6.79;10;small-for-gestational-age;10;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IFN_g;111.33;53.90;259.10;10;small-for-gestational-age;10;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
TNF_a;1.96;0.00;35.86;10;small-for-gestational-age;10;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_1ra;43.54;0.00;214.60;10;small-for-gestational-age;10;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_4;1.47;0.20;3.20;10;small-for-gestational-age;10;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_5;0.14;0.00;1.92;10;small-for-gestational-age;10;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_6;4.3;0.71;18.25;10;small-for-gestational-age;10;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_9;2.63;0.00;66.80;10;small-for-gestational-age;10;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_10;0;0.00;2.26;10;small-for-gestational-age;10;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_13;0.79;0.00;6.14;10;small-for-gestational-age;10;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
G_CSF;12.88;0.00;25.14;10;small-for-gestational-age;10;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
PDGF_BB;1264;38.00;2718.00;10;small-for-gestational-age;10;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_8;0;0.00;10.19;10;small-for-gestational-age;10;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
eotaxin;50.75;0.00;100.30;10;small-for-gestational-age;10;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MIP_1a;0;0.00;8.16;10;small-for-gestational-age;10;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MIP_1b;4.08;0.00;64.18;10;small-for-gestational-age;10;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MCP_1;0;0.00;47.95;10;small-for-gestational-age;10;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
RANTES;153;62.00;538.00;10;small-for-gestational-age;10;30.4;5.1;24.2;4.9;38.89;1.81;2629 ;352;serum;Bio-Plex Pro Human Cytokine 27-plex assay
