cytokine;value.median;value.percentile.0;value.percentile.100;ga.week.median;condition;n;age.mean;age.sd;bmi.mean;bmi.sd;gabirth.weeks.mean;gabirth.weeks.sd;birthweight.mean;birthweight.sd;tissue;method
IL_10;0.66;0.00;4.51;8;healthy;20;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_13;1.86;0.00;9.46;8;healthy;20;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
G_CSF;15.48;2.82;51.65;8;healthy;20;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
PDGF_BB;1773;219.00;5139.00;8;healthy;20;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_8;4.84;0.24;11.21;8;healthy;20;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
eotaxin;47.17;0.00;119.00;8;healthy;20;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MIP_1a;0;0.00;1.73;8;healthy;20;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MIP_1b;9.32;0.35;47.61;8;healthy;20;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MCP_1;29.77;0.00;65.68;8;healthy;20;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
RANTES;446;66.00;1032.00;8;healthy;20;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_1b;0.49;0.09;6.81;9;healthy;17;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_2;0;0.00;10.47;9;healthy;17;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_7;13.38;1.92;34.43;9;healthy;17;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_12p70;2.44;0.00;14.68;9;healthy;17;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IFN_g;83.18;24.60;170.80;9;healthy;17;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
TNF_a;0;0.00;97.31;9;healthy;17;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_1ra;101.9;0.00;352.40;9;healthy;17;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_4;2.5;0.00;4.26;9;healthy;17;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_5;0.11;0.00;3.07;9;healthy;17;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_6;4.9;1.23;19.43;9;healthy;17;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_9;0;0.00;319.14;9;healthy;17;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_10;0.1;0.00;3.02;9;healthy;17;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_13;0.98;0.00;7.06;9;healthy;17;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
G_CSF;12.19;0.00;28.80;9;healthy;17;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
PDGF_BB;1524;185.00;5178.00;9;healthy;17;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_8;2.67;0.00;9.74;9;healthy;17;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
eotaxin;38.03;4.00;91.00;9;healthy;17;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MIP_1a;0;0.00;3.22;9;healthy;17;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MIP_1b;9.11;0.00;44.76;9;healthy;17;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
MCP_1;12.09;0.00;43.70;9;healthy;17;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
RANTES;339;108.00;847.00;9;healthy;17;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_1b;0.87;0.09;21.91;10;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_2;2.58;0.00;87.18;10;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_7;14.82;1.92;33.87;10;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_12p70;2.03;0.00;19.41;10;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IFN_g;72.89;36.70;314.70;10;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
TNF_a;0;0.00;37.71;10;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_1ra;147.13;29.50;684.30;10;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_4;2.35;0.88;5.60;10;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_5;0.54;0.00;1.79;10;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_6;5.7;2.62;25.93;10;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
IL_9;2.38;0.00;114.03;10;healthy;15;30.2;4.6;24.2;3.9;39.8;0.89;3516;163;serum;Bio-Plex Pro Human Cytokine 27-plex assay
